Country, EDC-Position, Risk-Rating
 Sierra Leone,Limited information available,Medium to High Risk
 Singapore,Open,Low Risk
 Sint Maarten( Dutchpart),Open,Low to Medium Risk
 Slovakia,Open,Low Risk
 Slovenia,Open on restricted basis,Low Risk
 Solomon Islands,Limited information available,No Information
 Somalia,Open on highly restricted basis,High Risk
 South Africa,Open on restricted basis,Low to Medium Risk
 South Korea,Open,Low Risk
 Spain,Open,Low Risk
 Sri Lanka,Open on restricted basis,Medium to High Risk
 Sudan,Open on highly restricted basis,High Risk
 Suriname,Open on restricted basis,Medium to High Risk
 Swaziland,Limited information available,Medium Risk
 Sweden,Open,Low Risk
 Switzerland,Open,Low Risk
 Syria,Closed,No Information
 Taiwan,Open on restricted basis,Low Risk
 Tajikistan,Limited information available,High Risk
 Tanzania,Open on restricted basis,Medium to High Risk
 Thailand,Open on restricted basis,Low to Medium Risk
 Timor- Leste,Limited information available,Medium to High Risk
 Togo,Open on restricted basis,Medium Risk
 Tonga,Limited information available,Medium to High Risk
 Trinidadand Tobago,Open,Low to Medium Risk
 Tunisia,Open on restricted basis,Medium Risk
 Turkey,Open on restricted basis,Medium Risk
 Turkmenistan,Limited information available,High Risk
 Tuvalu,Limited information available,No Information
 Uganda,Open on restricted basis,Medium to High Risk
 Ukraine,Open on restricted basis,Medium to High Risk
 United Arab Emirates,Open,Low Risk
 United Kingdom,Open,Low Risk
 United States,Open,Low Risk
 Uruguay,Open,Low to Medium Risk
 Uzbekistan,Limited information available,Medium to High Risk
 Vanuatu,Limited information available,Medium to High Risk
 Venezuela,Open on highly restricted basis,High Risk
 Vietnam,Open,Medium to High Risk
 Yemen,Open on highly restricted basis,High Risk
 Zambia,Open on restricted basis,Medium to High Risk
 Zimbabwe,Open on highly restricted basis,High Risk
